name;price_range;security_level;charo_rate;has_cocktails;has_beers;has_wines;has_softs;image;description;recommandation;tips;city;tags
Le Carmelo;3;5;0;1;1;1;1;carmelo.png;Le Carmelo est le restaurant le plus tendance de Lyon. Avec son cadre typique de l’Italie du Sud, on est plongé dans la gastronomie italienne. ;Les pâtes à la truffe;Pensez à réserver à l’avance et surtout le week-end !;Lyon;italien
HEAT;2;4;2;1;1;1;1;heat.jpeg;Un ancien hangar aménagé en open bar/stands de nourritures tendance. Vous retrouverez vos saveurs préférées et pourrez profiter d’évènements tous les week-ends !;Les pizzas de chez la Boite Rose;Le dimanche allez-y avant midi si vous voulez y déjeuner.;Lyon;bar dansant|bar à cocktails
Le Petit Salon;3;2;4;1;1;1;1;le-petit-salon.jpeg;L’un des clubs les plus réputés de Lyon, notamment pour les soirées « This is ». ;Les soirées « This is Disco »;Prenez votre place à l’avance, ça part comme des petits pains.;Lyon;club
TOME;3;5;0;0;1;0;1;tome.jpeg;Un petit café/restaurant dans Croix-Rousse avec une cuisine fusion franco-japonaise. La carte change tous les jours, et tout est bon !;Les « sandos » (sandwichs japonais) sont excellents !;;Lyon;japonais|café
Barberousse;2;1;5;1;0;0;1;barberousse.jpeg;Le bar préféré des jeunes hommes en recherche d’affection. Si vous allez là-bas, n’ayez pas peur d’être proche des gens, c’est comme dans un boîte de sardine !;Les planteurs;;Lyon;bar dansant|bar à cocktails
Mimo;3;4;0;1;1;1;1;mimo.jpeg;Super restaurant italien au charme discret. Ils proposent des demi-plats, ce qui permet de goûter tout un tas de plats !;Goûter les cocktails;Il faut réserver;Lyon;italien
Le Sucre;3;3;2;1;1;1;1;le-sucre.jpeg;Un bar dansant et une salle de concert qui propose des évènements culturels mêlant tous les genres de musique. Il y a un super rooftop avec vue sur la Saône.;;;Lyon;bar dansant|club
Le Selcius;4;3;3;1;1;1;1;selcius.jpeg;Bar/restaurant sur les quais de Confluence avec une ambiance qui vous donne l’impression d’être parti en vacances.;Le pornstar martini;Préparez votre porte-feuille !;Lyon;chic
Le Corner Pub;2;5;0;1;1;1;1;corner-pub.jpeg;Un bar/snack en bar de canal à deux pas de la maison Peggy Guggenheim. On y retrouve les fameux cicchettis italiens ainsi que des nombreuses autres spécialités gustatives. Les spritz sont aussi bien dosés !;La tarte épinard ricotta ;Même s’il y a du monde devant, il y a souvent de la place au fond ! ;Venise;italien|bar
Raoul’s;4;5;1;1;0;1;1;raouls.jpeg;Au beau milieu de SoHo, un petit restaurant français bien typique. Déco baroque accompagnée de plats délicieusement copieux. ;Le steak au poivre;Super endroit à privatiser;New York;restaurant|bar dansant
Stand’Art café;2;3;4;1;1;1;1;standart.jpeg;Un bar étudiant dans le 20ème arrondissement à deux pas du Père Lachaise. Là-bas, retrouvez l’une des happy hour les plus rentables du tout Paris (16h - minuit). Il y aussi un pizzaïolo qui est disponible jusqu’à bien 23h, de quoi revigorer les étudiants affamés.;L’happy hour;Les cocktails à 6e en happy hour;Paris;bar|bar dansant|pizza
La Carotte Bleue;3;3;1;1;1;1;1;carotte-bleue.jpeg;Un petit restaurant qui ne paye pas de mine de l’extérieur et qui pourtant regorge de saveurs. Retrouvez des petits tapas travaillés et des plats tout aussi savoureux.;Le gratin de tortellini;Ne pas hésitez à prendre plusieurs tapas à partager !;Paris;bar|bar à cocktails|restaurant